Name1	Name2	Connection
贾宝玉	贾政	26
贾宝玉	贾珠	6
贾政	贾珠	3
贾宝玉	林黛玉	159
林黛玉	贾珍	1
薛宝钗	王夫人	19
李贵	林之孝	1
妙玉	林之孝	1
贾宝玉	贾迎春	9
贾迎春	林黛玉	3
贾演	贾蔷	3
贾演	王夫人	2
贾蔷	王夫人	1
史鼎	薛蟠	1
史鼎	贾珠	1
薛蟠	贾珠	1
王荣	贾赦	2
贾元春	昭容	1
李贵	彩缤	1
王成	玻璃	1
王成	贾荇	1
玻璃	贾荇	1
玻璃	贾珠	1
贾兰	贾珠	1
王荣	傅试	1
王荣	贾政	1
王荣	贾宝玉	6
傅试	贾政	3
傅试	贾宝玉	3
贾政	贾宝玉	1
王信	王成	4
傅试	王成	2
傅试	王信	1
王成	贾宝玉	2
王成	王信	2
王成	贾政	2
贾宝玉	王信	14
王信	贾政	1
昭容	贾政	1
昭容	贾赦	1
贾政	贾赦	4
王荣	史太君	1
王荣	昭容	1
史太君	昭容	1
李纨	王熙凤	1
李纨	王夫人	6
王熙凤	王夫人	2
薛宝钗	林黛玉	59
林黛玉	王夫人	10
贾赦	昭容	1
李贵	贾政	3
李贵	贾瑞	3
贾政	贾瑞	1
李贵	秦钟	1
贾政	秦钟	1
李贵	贾珍	4
贾政	贾珍	3
李贵	尤氏	1
贾蘅	贾芬	3
贾蘅	贾芷	4
贾芬	贾芷	3
尤氏	李纨	3
贾蘅	贾葛	2
贾芬	贾葛	1
贾葛	贾芷	1
贾芳	贾菱	1
贾芳	贾荇	1
贾菱	贾荇	2
王成	李纨	6
贾迎春	王成	2
王信	贾探春	1
贾芳	薛宝钗	3
贾芳	秦钟	1
贾芳	贾瑞	1
薛宝钗	秦钟	1
薛宝钗	贾瑞	1
秦钟	贾瑞	1
贾源	林黛玉	2
贾宝玉	贾蘅	1
贾宝玉	薛宝钗	71
贾宝玉	王成	25
王成	薛宝钗	15
贾蘅	贾芳	1
贾芬	贾芳	1
贾芳	贾芷	1
贾元春	贾琼	1
贾元春	贾宝玉	2
贾元春	贾兰	1
贾琼	贾宝玉	2
贾琼	贾兰	1
贾宝玉	贾兰	4
龄官	贾演	1
龄官	贾蔷	6
李贵	龄官	1
李贵	贾珠	1
贾珠	王夫人	4
贾政	贾敬	2
贾敬	贾赦	4
贾蓉	贾琏	3
贾蓉	贾珍	19
贾蓉	贾环	1
贾琏	贾珍	6
贾琏	贾环	1
贾珍	贾环	3
贾宝玉	袭人	127
贾琏	薛蟠	1
薛蟠	贾珍	7
茗烟	贾宝玉	18
茗烟	王成	1
茗烟	袭人	3
茗烟	贾芳	3
袭人	贾芳	5
贾宝玉	贾芳	8
茗烟	李嬷嬷	1
贾宝玉	贾珍	7
袭人	贾珍	2
贾宝玉	李嬷嬷	15
王信	李嬷嬷	1
贾宝玉	贾敬	6
李嬷嬷	茜雪	2
贾宝玉	李纹	7
贾宝玉	晴雯	27
李纹	晴雯	5
袭人	王信	5
袭人	王成	4
王成	秦业	2
贾宝玉	茜雪	1
王成	林黛玉	16
贾宝玉	王熙凤	1
薛宝钗	王熙凤	1
林黛玉	王熙凤	1
袭人	林黛玉	19
袭人	李嬷嬷	8
薛宝钗	李嬷嬷	2
李嬷嬷	林黛玉	2
贾宝玉	贾环	17
晴雯	鸳鸯	1
晴雯	李纹	3
晴雯	碧痕	2
晴雯	李绮	4
晴雯	琥珀	1
晴雯	麝月	18
鸳鸯	李纹	1
鸳鸯	碧痕	1
鸳鸯	李绮	2
鸳鸯	琥珀	7
鸳鸯	麝月	2
李纹	碧痕	2
李纹	李绮	6
李纹	琥珀	1
李纹	麝月	8
碧痕	李绮	2
碧痕	琥珀	1
碧痕	麝月	4
李绮	琥珀	1
李绮	麝月	2
琥珀	麝月	2
贾宝玉	麝月	28
袭人	麝月	16
莺儿	薛宝钗	9
莺儿	贾菱	3
莺儿	贾环	5
薛宝钗	贾菱	15
薛宝钗	贾环	3
贾菱	贾环	2
贾惜春	贾探春	14
贾惜春	史湘云	4
贾惜春	林黛玉	13
贾惜春	贾迎春	14
贾惜春	贾元春	1
贾惜春	薛宝钗	10
贾探春	史湘云	6
贾探春	林黛玉	19
贾探春	贾迎春	11
贾探春	贾元春	1
贾探春	薛宝钗	13
史湘云	林黛玉	26
史湘云	贾迎春	4
史湘云	贾元春	1
史湘云	薛宝钗	10
林黛玉	贾迎春	9
林黛玉	贾元春	1
林黛玉	薛宝钗	17
贾迎春	贾元春	1
贾迎春	薛宝钗	12
贾元春	薛宝钗	1
莺儿	贾宝玉	6
莺儿	赵姨娘	1
贾宝玉	赵姨娘	4
赵姨娘	贾环	4
王夫人	贾环	5
丰儿	贾迎春	1
丰儿	贾环	1
贾迎春	贾环	3
平儿	袭人	22
平儿	贾宝玉	5
平儿	贾琏	26
平儿	史湘云	5
平儿	林黛玉	3
袭人	贾宝玉	6
袭人	贾琏	2
袭人	史湘云	14
贾宝玉	贾琏	5
贾宝玉	史湘云	40
贾琏	史湘云	1
贾琏	林黛玉	2
云儿	史湘云	1
云儿	林黛玉	1
云儿	贾宝玉	1
史湘云	贾宝玉	1
