Name	Importance
王成	537
李纨	259
贾敷	14
贾演	34
王荣	209
李贵	147
秦业	78
空空道人	5
茫茫大士	1
渺渺真人	1
贾政	365
王仁	35
贾芹	18
贾珠	113
神瑛侍者	2
警幻仙子	3
贾宝玉	2686
贾菱	185
傅试	80
严老爷	1
王狗	49
鸳鸯	273
王信	220
王夫人	810
林如海	22
贾兰	69
秦钟	172
史鼎	24
林黛玉	956
贾珍	407
贾环	142
智通	3
贾代化	2
贾敬	108
贾蓉	266
贾代善	3
贾赦	99
李公子	56
史太君	6
贾芝	3
贾敏	14
贾元春	17
贾迎春	123
贾探春	338
贾惜春	79
玉儿	3
贾琏	483
贾敕	5
鹦鹉	4
李嬷嬷	142
贾效	27
翡翠	5
王熙凤	23
贾源	13
玻璃	27
王子胜	1
林之孝	90
雪雁	29
袭人	749
薛蟠	216
王子腾	17
李守中	2
冯渊	6
薛宝钗	685
尤氏	309
贾芳	246
晴雯	303
彩云	39
刘氏	5
贾琼	11
贾芬	8
痴梦仙姑	1
引愁金女	1
度恨菩提	1
琥珀	38
李绮	31
秦可卿	4
刘姥姥	230
贾葛	13
板儿	33
青儿	1
贾瑞	254
平儿	489
金钏	52
莺儿	105
司棋	68
智能	26
入画	19
丰儿	20
茜雪	10
焦大	12
赖二	1
詹光	3
吴新登	12
戴良	1
钱华	1
李纹	88
紫鹃	133
贾代儒	25
麝月	157
贾萍	10
贾蔷	72
茗烟	81
贾菌	14
锄药	5
墨雨	2
贾璜	11
胡氏	1
金氏	5
冯紫英	26
李婶娘	4
贾代修	1
贾敦	2
贾琮	9
贾珩	2
贾珖	3
贾琛	2
贾璘	2
贾菖	6
贾芸	114
贾蓁	1
贾藻	11
贾蘅	43
戴权	7
北静王	18
来旺	9
张材家的	9
昭儿	8
缮国公	2
牛清	1
牛继宗	1
柳彪	1
陈翼	1
马魁	1
马尚	1
侯晓明	1
侯孝康	1
蒋子宁	1
谢鲸	1
戚建辉	1
裘良	1
水溶	16
净虚	5
智善	2
金哥	4
云光	2
夏守忠	4
赖大	43
皇帝	5
卜固修	1
赵天梁	1
赵天栋	1
山子野	2
程日兴	4
引泉	3
贾芷	8
翠缕	39
妙玉	48
绣凤	2
昭容	4
彩缤	1
贾荇	9
抱琴	1
龄官	22
碧痕	15
史湘云	368
赵姨娘	96
云儿	18
四儿	20
五儿	34
多官	2
多姑娘	2
文官	17
周氏	2
五嫂子	2
彩霞	23
绣鸾	2
檀云	5
嫣红	3
银姐	1
倪二	16
王短腿	1
扫花	2
伴鹤	2
方椿	1
小红	11
玉钏	50
马道婆	22
周姨娘	7
佳蕙	10
坠儿	36
笑儿	21
胡斯来	1
冯唐	1
巧姐	3
侍书	4
蒋玉菡	12
鲍太医	1
双寿	1
春纤	2
文杏	2
翠墨	17
彩屏	2
同喜	3
臻儿	3
素云	12
张道士	24
靛儿	3
周奶娘	2
喜儿	7
金彩	6
鲍二家的	13
金文翔	6
柳湘莲	23
杏奴	1
薛蝌	15
薛宝琴	104
梅翰林之子	1
邢岫烟	13
史鼐	1
小螺	8
张若锦	2
赵亦华	2
钱启	4
篆儿	3
兴儿	59
乌进孝	9
葵官	7
莲花	10
单大良	2
赵国基	2
祝妈	3
田妈	1
叶妈	4
小吉祥儿	1
邢忠	1
蕊官	22
藕官	34
豆官	4
艾官	4
茄官	1
菂官	3
春燕	33
小鸠儿	1
半儿	2
夏婆子	7
柳家的	39
小蝉	3
钱槐	3
秦显家的	3
炒豆	3
佩凤	18
天文生	4
尤二姐	85
尤老娘	16
俞禄	12
张华	38
隆儿	8
寿儿	3
善姐	3
庆儿	3
秋桐	23
保宁侯之子	1
娇红	1
喜鸾	6
四姐	5
朱大娘	2
小霞	1
小鹊	3
傻大姐	6
翠云	1
来喜家的	1
王善保家的	25
潘又安	2
银蝶	7
邢德全	5
文花	1
孙绍祖	2
夏奶奶	1
夏金桂	1
